event_date,contract,source_market,target_market,lag_minute,FEVD
2024-11-07,0bp,CME,KAL,30,0.007252942564614413
2024-11-07,0bp,CME,KAL,60,0.008627958271498717
2024-11-07,0bp,KAL,CME,1,5.9149680996801063e-05
2024-11-07,0bp,KAL,CME,5,0.0003467226668544162
2024-11-07,0bp,KAL,CME,30,0.0023200386195635385
2024-11-07,0bp,KAL,CME,60,0.0049532607154019175
2024-11-07,0bp,PM,KAL,1,0.001842895099987501
2024-11-07,0bp,PM,KAL,5,0.003945554044891471
2024-11-07,0bp,PM,KAL,30,0.006919086023521668
2024-11-07,0bp,PM,KAL,60,0.007934455436089009
2024-11-07,0bp,KAL,PM,1,0.0009080850374857033
2024-11-07,0bp,KAL,PM,5,0.0029179327089708224
2024-11-07,0bp,KAL,PM,30,0.006667707547917312
2024-11-07,0bp,KAL,PM,60,0.008301832896702579
2024-12-18,0bp,CME,PM,1,0.00032687777998612473
2024-12-18,0bp,CME,PM,5,0.0012372764779285165
2024-12-18,0bp,CME,PM,30,0.0017609586422119307
2024-12-18,0bp,CME,PM,60,0.0024881884695506598
2024-12-18,0bp,PM,CME,1,0.0003480967380155153
2024-12-18,0bp,PM,CME,5,0.0005666004972898743
2024-12-18,0bp,PM,CME,30,0.001190175805859831
2024-12-18,0bp,PM,CME,60,0.0016305937122208824
2024-12-18,0bp,CME,KAL,1,0.0006383737496756215
2024-12-18,0bp,CME,KAL,5,0.0016210158054571619
2024-12-18,0bp,CME,KAL,30,0.002425243391695464
2024-12-18,0bp,CME,KAL,60,0.002909574093353101
2024-12-18,0bp,KAL,CME,1,5.046353964210887e-07
2024-12-18,0bp,KAL,CME,5,0.00022247835552060023
2024-12-18,0bp,KAL,CME,30,0.0006903993234392721
2024-12-18,0bp,KAL,CME,60,0.0011271387984820027
2024-12-18,0bp,PM,KAL,1,0.00010818937103874201
2024-12-18,0bp,PM,KAL,5,0.0001604665565657807
2024-12-18,0bp,PM,KAL,30,0.0018314506187080322
2024-12-18,0bp,PM,KAL,60,0.004193540868709766
2024-12-18,0bp,KAL,PM,1,0.00012618334956671136
2024-12-18,0bp,KAL,PM,5,0.0001580297260343458
2024-12-18,0bp,KAL,PM,30,0.0007096407912499034
2024-12-18,0bp,KAL,PM,60,0.000816784183710571
2025-01-29,0bp,CME,PM,1,0.00012940187366186254
2025-01-29,0bp,CME,PM,5,0.00033991320322677895
2025-01-29,0bp,CME,PM,30,0.0018650874040938832
2025-01-29,0bp,CME,PM,60,0.002573291989415781
2025-01-29,0bp,PM,CME,1,5.9043809464035315e-05
2025-01-29,0bp,PM,CME,5,0.00023583526249464445
2025-01-29,0bp,PM,CME,30,0.0018637650724220008
2025-01-29,0bp,PM,CME,60,0.003998617521766068
2025-01-29,0bp,CME,KAL,1,0.0006093317299092465
2025-01-29,0bp,CME,KAL,5,0.001217448636302267
2025-01-29,0bp,CME,KAL,30,0.014710152069790464
2025-01-29,0bp,CME,KAL,60,0.018391600377014403
2025-01-29,0bp,KAL,CME,1,0.0001578497104741632
2025-01-29,0bp,KAL,CME,5,0.002360489331159972
2025-01-29,0bp,KAL,CME,30,0.009174826762559705
2025-01-29,0bp,KAL,CME,60,0.01781539029439049
2025-01-29,0bp,PM,KAL,1,2.9571394600905152e-05
2025-01-29,0bp,PM,KAL,5,0.0009101229085472515
2025-01-29,0bp,PM,KAL,30,0.003192429080872713
2025-01-29,0bp,PM,KAL,60,0.004512863186053968
2025-01-29,0bp,KAL,PM,1,1.6820707687253255e-05
2025-01-29,0bp,KAL,PM,5,0.00012022250712440467
2025-01-29,0bp,KAL,PM,30,0.002037038202638439
2025-01-29,0bp,KAL,PM,60,0.002422069680794342
2025-03-19,0bp,CME,PM,1,1.4621633775279283e-06
2025-03-19,0bp,CME,PM,5,2.3596864187168056e-05
2025-03-19,0bp,CME,PM,30,0.0006562435397666411
2025-03-19,0bp,CME,PM,60,0.0010424912260136182
2025-03-19,0bp,PM,CME,1,3.2591451202737285e-06
2025-03-19,0bp,PM,CME,5,8.984572460557293e-06
2025-03-19,0bp,PM,CME,30,0.0003727570513444552
2025-03-19,0bp,PM,CME,60,0.0007218029878677423
2025-03-19,0bp,CME,KAL,1,3.7746551904309237e-06
2025-03-19,0bp,CME,KAL,5,0.00038618542267656995
2025-03-19,0bp,CME,KAL,30,0.0034298445112420596
2025-03-19,0bp,CME,KAL,60,0.006712583620694285
2025-03-19,0bp,KAL,CME,1,2.282915500322027e-05
2025-03-19,0bp,KAL,CME,5,0.00023816421588962277
2025-03-19,0bp,KAL,CME,30,0.002539551019997994
2025-03-19,0bp,KAL,CME,60,0.0046882360079318515
2025-03-19,0bp,PM,KAL,1,2.1246636163356795e-06
2025-03-19,0bp,PM,KAL,5,3.66985704068038e-05
2025-03-19,0bp,PM,KAL,30,0.0002626726336512487
2025-03-19,0bp,PM,KAL,60,0.0006290295816644907
2025-03-19,0bp,KAL,PM,1,8.239369756706233e-06
2025-03-19,0bp,KAL,PM,5,4.6331964664874146e-05
2025-03-19,0bp,KAL,PM,30,0.00020310630360788272
2025-03-19,0bp,KAL,PM,60,0.0004666789806081841
2025-05-07,0bp,CME,PM,1,0.0015710340489353957
2025-05-07,0bp,CME,PM,5,0.013186852644673012
2025-05-07,0bp,CME,PM,30,0.02213134372925891
2025-05-07,0bp,CME,PM,60,0.02381682275563876
2025-05-07,0bp,PM,CME,1,0.0014522330776508539
2025-05-07,0bp,PM,CME,5,0.001900985498686126
2025-05-07,0bp,PM,CME,30,0.004908339400327348
2025-05-07,0bp,PM,CME,60,0.0071809678808635174
2025-05-07,0bp,CME,KAL,1,0.00036645615803555706
2025-05-07,0bp,CME,KAL,5,0.004195713124015086
2025-05-07,0bp,CME,KAL,30,0.005103564106079237
2025-05-07,0bp,CME,KAL,60,0.00596527071109077
2025-05-07,0bp,KAL,CME,1,9.719416419812113e-05
2025-05-07,0bp,KAL,CME,5,0.00015729511574571483
2025-05-07,0bp,KAL,CME,30,0.0008800705553116386
2025-05-07,0bp,KAL,CME,60,0.0015013465810138652
2025-05-07,0bp,PM,KAL,1,0.004511242743961833
2025-05-07,0bp,PM,KAL,5,0.004720924405817633
2025-05-07,0bp,PM,KAL,30,0.006644719078800761
2025-05-07,0bp,PM,KAL,60,0.007871558947833531
2025-05-07,0bp,KAL,PM,1,0.004692457319240028
2025-05-07,0bp,KAL,PM,5,0.00531647474723594
2025-05-07,0bp,KAL,PM,30,0.006109941552016557
2025-05-07,0bp,KAL,PM,60,0.006776864263637882
2025-06-18,0bp,CME,PM,1,2.1126809782577582e-05
2025-06-18,0bp,CME,PM,5,0.00014342734049496104
