id,transactionHash,timestamp,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0xe117d3a21505265c6599e1bff35b541af89f4bdb17f1a287561e90379b0fc4bc_0x39b6ee5f0a8921dc2bcc422060b2db4dec9dce57c0aa9ab52d5a3cbf882a3797,0xe117d3a21505265c6599e1bff35b541af89f4bdb17f1a287561e90379b0fc4bc,1717266432,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,15.35312,14.999998,0.0,YES,2024-06-01 18:27:12+00:00,SELL,14.999998,15.35312,0.9769999843679981,0.9769999843679981,0.023
0xfba65ebe272e1d3e8d770a4f993f4b3d4c5f51f74ca7ff2118eafe493b701633_0xe4e0c1a133d63e7a622c3562f34679b6535fbbca8de15d200068898cd98df4a4,0xfba65ebe272e1d3e8d770a4f993f4b3d4c5f51f74ca7ff2118eafe493b701633,1717270202,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,26.777777,27.777776,0.0,YES,2024-06-01 19:30:02+00:00,BUY,26.777777,27.777776,0.9640000336960022,0.9640000336960022,0.036
0x5e1a0c96be533499846735fbd1dd4d7341ac4af99f3d3ea039c1c38833b5b78c_0x79d57eb8839067db77c4f5fb51e70957336045314dbeeeef65f987996d5daa33,0x5e1a0c96be533499846735fbd1dd4d7341ac4af99f3d3ea039c1c38833b5b78c,1717276302,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,1928.0,2000.0,0.0,YES,2024-06-01 21:11:42+00:00,BUY,1928.0,2000.0,0.964,0.964,0.036
0xb70f59e826372b337eed694ea5fc2165568c01ce65dc532577e4ccd8eb20e51d_0xe0989c9cb4f660a50fcb5c6b3f2d712d669f23b67ebddaa43e48537ab097d7a0,0xb70f59e826372b337eed694ea5fc2165568c01ce65dc532577e4ccd8eb20e51d,1717306305,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,0.009963,0.010208,0.0,YES,2024-06-02 05:31:45+00:00,BUY,0.009963,0.010208,0.9759992163009404,0.9759992163009404,0.024001
0xd9ba568da1ddc2fb92b65ce2dd4d73d7c647ad6c7abb959ce6c617911b4aa0de_0x7df3bc0262e1e8942f4f1e432bcea89fd495dd841a13f60fdcac5a961a866e8e,0xd9ba568da1ddc2fb92b65ce2dd4d73d7c647ad6c7abb959ce6c617911b4aa0de,1717306555,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,0.009963,0.010208,0.0,YES,2024-06-02 05:35:55+00:00,BUY,0.009963,0.010208,0.9759992163009404,0.9759992163009404,0.024001
0x36ef86d5196806c1e06e80d66581f0bb0e7b4c872e73794916d3abd378d2aef0_0x39b6ee5f0a8921dc2bcc422060b2db4dec9dce57c0aa9ab52d5a3cbf882a3797,0x36ef86d5196806c1e06e80d66581f0bb0e7b4c872e73794916d3abd378d2aef0,1717310099,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010234,0.009998,0.0,YES,2024-06-02 06:34:59+00:00,SELL,0.009998,0.010234,0.9769396130545241,0.9769396130545241,0.02306
0x484ea60744102a80fe92cb9626e5b4361344fabe707f6fd25cdd0f20008bba4b_0x39b6ee5f0a8921dc2bcc422060b2db4dec9dce57c0aa9ab52d5a3cbf882a3797,0x484ea60744102a80fe92cb9626e5b4361344fabe707f6fd25cdd0f20008bba4b,1717311589,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010234,0.009998,0.0,YES,2024-06-02 06:59:49+00:00,SELL,0.009998,0.010234,0.9769396130545241,0.9769396130545241,0.02306
0x84fc5d1f79a475451b93e52c3d68343a6d6cd4cb0c0aaae0d37edb6795c9558d_0x39b6ee5f0a8921dc2bcc422060b2db4dec9dce57c0aa9ab52d5a3cbf882a3797,0x84fc5d1f79a475451b93e52c3d68343a6d6cd4cb0c0aaae0d37edb6795c9558d,1717316455,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010234,0.009998,0.0,YES,2024-06-02 08:20:55+00:00,SELL,0.009998,0.010234,0.9769396130545241,0.9769396130545241,0.02306
0x207b77a14ade1b60ad6bd4237712502c1f34cd4b2d78c803b1cea5c0c59f085f_0x2f07b98ee4ad20003b990c1d2b0ceb09f4257b203d34245f5a97ff4014695223,0x207b77a14ade1b60ad6bd4237712502c1f34cd4b2d78c803b1cea5c0c59f085f,1717316645,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,0.009982,0.010217,0.0,YES,2024-06-02 08:24:05+00:00,BUY,0.009982,0.010217,0.9769991191152001,0.9769991191152001,0.023001
0x08ceb11453851f292e20e595bbb1577ac5646e9515d246363e139b9c4679d23d_0xf16cdccb457a647524dc78b4607004999b562500ce142588880561158fb7d0cc,0x08ceb11453851f292e20e595bbb1577ac5646e9515d246363e139b9c4679d23d,1717318793,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,0.009982,0.010217,0.0,YES,2024-06-02 08:59:53+00:00,BUY,0.009982,0.010217,0.9769991191152001,0.9769991191152001,0.023001
